23:46:33.617 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   | Initilizing ConfigurationManager
23:46:33.627 05-05-2016 | INFO  | main                 | o.c.s.resource.ConfigurationResourceResolver       | Loading configuration from class path resource [etc/conf/strongbox.xml]...
23:46:33.627 05-05-2016 | INFO  | main                 | o.c.s.configuration.AbstractConfigurationManager   | Loading Strongbox configuration from class path resource [etc/conf/strongbox.xml]...
23:46:33.707 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   | Configuration version: 1.0
23:46:33.707 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   | Loading storages...
23:46:33.708 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |  -> Storage: storage0
23:46:33.708 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-by-juan
23:46:33.708 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases
23:46:33.708 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-in-memory
23:46:33.708 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-with-redeployment
23:46:33.708 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-with-trash
23:46:33.708 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-without-deployment
23:46:33.708 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-without-redeployment
23:46:33.708 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-without-delete
23:46:33.708 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-without-delete-trash
23:46:33.709 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-without-browsing
23:46:33.709 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: snapshots
23:46:33.709 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: snapshots-in-memory
23:46:33.709 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: proxied-releases
23:46:33.709 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: group-releases
23:46:33.709 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: group-releases-with-options
23:46:33.709 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: group-releases-without-options
23:46:33.709 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: group-releases-nested
23:46:33.709 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: group-releases-nested-deep-1
23:46:33.709 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: group-releases-nested-deep-2
23:46:33.710 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: group-releases-nested-deep-3
23:46:33.784 05-05-2016 | INFO  | main                 | o.c.s.services.impl.ArtifactResolutionServiceImpl  | Loading resolvers...
23:46:33.785 05-05-2016 | INFO  | main                 | o.c.s.services.impl.ArtifactResolutionServiceImpl  |  -> class org.carlspring.strongbox.storage.resolvers.FSLocationResolver
23:46:33.785 05-05-2016 | INFO  | main                 | o.c.s.services.impl.ArtifactResolutionServiceImpl  |  -> class org.carlspring.strongbox.storage.resolvers.GroupLocationResolver
23:46:33.972 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   | Initilizing ConfigurationManager
23:46:33.973 05-05-2016 | INFO  | main                 | o.c.s.resource.ConfigurationResourceResolver       | Loading configuration from class path resource [etc/conf/strongbox.xml]...
23:46:33.973 05-05-2016 | INFO  | main                 | o.c.s.configuration.AbstractConfigurationManager   | Loading Strongbox configuration from class path resource [etc/conf/strongbox.xml]...
23:46:33.985 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   | Configuration version: 1.0
23:46:33.986 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   | Loading storages...
23:46:33.986 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |  -> Storage: storage0
23:46:33.986 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-by-juan
23:46:33.986 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases
23:46:33.986 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-in-memory
23:46:33.986 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-with-redeployment
23:46:33.986 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-with-trash
23:46:33.987 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-without-deployment
23:46:33.987 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-without-redeployment
23:46:33.987 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-without-delete
23:46:33.987 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-without-delete-trash
23:46:33.987 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-without-browsing
23:46:33.987 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: snapshots
23:46:33.987 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: snapshots-in-memory
23:46:33.987 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: proxied-releases
23:46:33.988 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: group-releases
23:46:33.988 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: group-releases-with-options
23:46:33.988 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: group-releases-without-options
23:46:33.988 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: group-releases-nested
23:46:33.988 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: group-releases-nested-deep-1
23:46:33.988 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: group-releases-nested-deep-2
23:46:33.988 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: group-releases-nested-deep-3
23:46:33.997 05-05-2016 | INFO  | main                 | o.c.s.services.impl.ArtifactResolutionServiceImpl  | Loading resolvers...
23:46:33.997 05-05-2016 | INFO  | main                 | o.c.s.services.impl.ArtifactResolutionServiceImpl  |  -> class org.carlspring.strongbox.storage.resolvers.FSLocationResolver
23:46:33.997 05-05-2016 | INFO  | main                 | o.c.s.services.impl.ArtifactResolutionServiceImpl  |  -> class org.carlspring.strongbox.storage.resolvers.GroupLocationResolver
23:46:34.037 05-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.apache.maven:location-utils:1.0.1:jar...
23:46:34.101 05-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.apache.maven:location-utils:1.0.2:jar...
23:46:34.182 05-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.apache.maven:location-utils:1.1:jar...
23:46:34.244 05-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.apache.maven:location-utils:1.2:jar...
23:46:34.277 05-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.apache.maven:location-utils:1.2.1:jar...
23:46:34.345 05-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for com.carlspring.strongbox:foo:5.1:jar...
23:46:34.362 05-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for com.carlspring.strongbox:foo:5.2:jar...
23:46:34.398 05-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for com.carlspring.strongbox:foo:5.3:jar...
23:46:34.464 05-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.carlspring.maven:locator-testing:2.1:jar...
23:46:34.497 05-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.carlspring.maven:locator-testing:2.2:jar...
23:46:34.553 05-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.carlspring.maven:locator-testing:2.3:jar...
23:46:34.559 05-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.carlspring.maven:locator-testing:2.4:jar...
23:46:34.617 05-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.carlspring.maven:locator-testing:2.5:jar...
23:46:34.683 05-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.carlspring.maven:locator-testing:3.0:jar...
23:46:34.705 05-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.carlspring.strongbox:locator:5.2.1:jar...
23:46:34.845 05-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.carlspring.strongbox:locator:5.2.2:jar...
23:46:34.919 05-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.carlspring.strongbox:locator:5.2.2:jar...
23:46:35.056 05-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.carlspring.strongbox.locator:foo-locator:1.0:jar...
23:46:35.115 05-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.carlspring.strongbox.locator:foo-locator:1.1:jar...
23:46:35.135 05-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.carlspring.strongbox.locator:foo-locator:1.2:jar...
23:46:35.139 05-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.carlspring.strongbox.locator:utils:2.1:jar...
23:46:35.197 05-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.carlspring.strongbox.locator:utils:2.2:jar...
23:46:35.264 05-05-2016 | DEBUG | main                 | o.c.strongbox.artifact.generator.ArtifactGenerator | Generating pom file for org.carlspring.strongbox.locator:utils:2.3:jar...
23:46:35.344 05-05-2016 | DEBUG | main                 | o.c.s.artifact.locator.ArtifactDirectoryLocator    | Executed (cache: 3) visits in 73 ms.
23:46:35.358 05-05-2016 | DEBUG | main                 | o.c.s.artifact.locator.ArtifactDirectoryLocator    | Executed (cache: 3) visits in 12 ms.
23:46:35.445 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   | Initilizing ConfigurationManager
23:46:35.447 05-05-2016 | INFO  | main                 | o.c.s.resource.ConfigurationResourceResolver       | Loading configuration from class path resource [etc/conf/strongbox.xml]...
23:46:35.447 05-05-2016 | INFO  | main                 | o.c.s.configuration.AbstractConfigurationManager   | Loading Strongbox configuration from class path resource [etc/conf/strongbox.xml]...
23:46:35.460 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   | Configuration version: 1.0
23:46:35.460 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   | Loading storages...
23:46:35.461 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |  -> Storage: storage0
23:46:35.461 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-by-juan
23:46:35.461 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases
23:46:35.461 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-in-memory
23:46:35.461 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-with-redeployment
23:46:35.461 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-with-trash
23:46:35.461 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-without-deployment
23:46:35.461 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-without-redeployment
23:46:35.461 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-without-delete
23:46:35.461 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-without-delete-trash
23:46:35.462 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: releases-without-browsing
23:46:35.462 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: snapshots
23:46:35.462 05-05-2016 | INFO  | main                 | o.c.strongbox.configuration.ConfigurationManager   |     -> Repository: snapshots-in-memory
